incident_id,timestamp,severity,category,status,description
1000,2024-04-12 19:00:00.000000,Low,Malware,Closed,Incident 0 description
1001,2024-09-27 10:00:00.000000,Medium,Malware,Resolved,Incident 1 description
1002,2024-03-12 20:00:00.000000,Critical,Misconfiguration,Resolved,Incident 2 description
1003,2024-04-12 18:00:00.000000,Medium,Phishing,Open,Incident 3 description
1004,2024-08-02 10:00:00.000000,Medium,Phishing,In Progress,Incident 4 description
1005,2024-03-28 20:00:00.000000,Medium,Phishing,In Progress,Incident 5 description
1006,2024-04-09 07:00:00.000000,Medium,Phishing,In Progress,Incident 6 description
1007,2024-05-31 02:00:00.000000,Medium,Malware,In Progress,Incident 7 description
1008,2024-05-29 20:00:00.000000,Medium,Malware,Open,Incident 8 description
1009,2024-09-14 23:00:00.000000,Medium,Malware,Open,Incident 9 description
1010,2024-10-20 01:00:00.000000,Critical,Unauthorized Access,Closed,Incident 10 description
1011,2024-07-10 20:00:00.000000,Medium,Misconfiguration,In Progress,Incident 11 description
1012,2024-06-09 11:00:00.000000,High,Phishing,Closed,Incident 12 description
1013,2024-01-22 11:00:00.000000,Low,Phishing,In Progress,Incident 13 description
1014,2024-02-18 09:00:00.000000,Medium,DDoS,In Progress,Incident 14 description
1015,2024-07-06 15:00:00.000000,Low,Malware,Resolved,Incident 15 description
1016,2024-09-27 14:00:00.000000,Medium,Phishing,Closed,Incident 16 description
1017,2024-02-20 11:00:00.000000,Low,Phishing,Closed,Incident 17 description
1018,2024-02-24 19:00:00.000000,Low,Phishing,In Progress,Incident 18 description
1019,2024-05-10 04:00:00.000000,High,Unauthorized Access,Closed,Incident 19 description
1020,2024-05-14 20:00:00.000000,Medium,Phishing,In Progress,Incident 20 description
1021,2024-06-15 17:00:00.000000,Medium,DDoS,Resolved,Incident 21 description
1022,2024-03-29 13:00:00.000000,Low,Malware,Resolved,Incident 22 description
1023,2024-08-29 08:00:00.000000,Medium,Phishing,Resolved,Incident 23 description
1024,2024-02-22 01:00:00.000000,High,Malware,Resolved,Incident 24 description
1025,2024-04-01 14:00:00.000000,Low,Phishing,Resolved,Incident 25 description
1026,2024-09-20 14:00:00.000000,Low,DDoS,In Progress,Incident 26 description
1027,2024-02-04 13:00:00.000000,Medium,Phishing,Resolved,Incident 27 description
1028,2024-03-21 03:00:00.000000,Critical,Phishing,In Progress,Incident 28 description
1029,2024-02-19 07:00:00.000000,Low,DDoS,Resolved,Incident 29 description
1030,2024-01-02 05:00:00.000000,Medium,Phishing,In Progress,Incident 30 description
1031,2024-02-23 09:00:00.000000,Medium,Phishing,Resolved,Incident 31 description
1032,2024-09-16 21:00:00.000000,Low,Malware,Resolved,Incident 32 description
1033,2024-07-09 17:00:00.000000,Medium,Phishing,Resolved,Incident 33 description
1034,2024-08-05 11:00:00.000000,Low,Unauthorized Access,In Progress,Incident 34 description
1035,2024-06-10 09:00:00.000000,High,Phishing,Resolved,Incident 35 description
1036,2024-09-26 15:00:00.000000,Medium,Malware,Open,Incident 36 description
1037,2024-09-27 07:00:00.000000,Medium,Malware,Resolved,Incident 37 description
1038,2024-08-02 07:00:00.000000,High,DDoS,Resolved,Incident 38 description
1039,2024-07-31 15:00:00.000000,High,Phishing,Open,Incident 39 description
1040,2024-08-24 17:00:00.000000,Low,Phishing,In Progress,Incident 40 description
1041,2024-02-22 23:00:00.000000,Medium,Misconfiguration,Resolved,Incident 41 description
1042,2024-08-04 12:00:00.000000,High,Unauthorized Access,In Progress,Incident 42 description
1043,2024-02-10 14:00:00.000000,Low,Unauthorized Access,In Progress,Incident 43 description
1044,2024-03-05 06:00:00.000000,Low,Phishing,Closed,Incident 44 description
1045,2024-01-09 23:00:00.000000,Medium,Phishing,Resolved,Incident 45 description
1046,2024-05-08 11:00:00.000000,Low,Phishing,Resolved,Incident 46 description
1047,2024-05-15 23:00:00.000000,High,Malware,In Progress,Incident 47 description
1048,2024-03-03 10:00:00.000000,High,Phishing,Closed,Incident 48 description
1049,2024-03-21 07:00:00.000000,Low,Unauthorized Access,In Progress,Incident 49 description
1050,2024-06-11 02:00:00.000000,Low,Phishing,Resolved,Incident 50 description
1051,2024-10-15 04:00:00.000000,Low,Misconfiguration,In Progress,Incident 51 description
1052,2024-08-18 08:00:00.000000,Medium,Malware,Closed,Incident 52 description
1053,2024-01-28 06:00:00.000000,Low,Unauthorized Access,Resolved,Incident 53 description
1054,2024-07-19 07:00:00.000000,Low,Phishing,Resolved,Incident 54 description
1055,2024-09-24 01:00:00.000000,Low,Malware,In Progress,Incident 55 description
1056,2024-02-02 15:00:00.000000,Low,DDoS,Resolved,Incident 56 description
1057,2024-03-02 23:00:00.000000,Medium,Phishing,Resolved,Incident 57 description
1058,2024-10-19 02:00:00.000000,Medium,Phishing,Resolved,Incident 58 description
1059,2024-06-20 07:00:00.000000,Medium,Misconfiguration,Resolved,Incident 59 description
1060,2024-08-01 02:00:00.000000,Low,DDoS,Resolved,Incident 60 description
1061,2024-08-14 04:00:00.000000,Low,Phishing,Open,Incident 61 description
1062,2024-05-10 00:00:00.000000,High,Malware,Closed,Incident 62 description
1063,2024-01-05 22:00:00.000000,Medium,Malware,Resolved,Incident 63 description
1064,2024-09-11 13:00:00.000000,Medium,DDoS,Open,Incident 64 description
1065,2024-10-09 08:00:00.000000,Medium,Phishing,In Progress,Incident 65 description
1066,2024-07-25 14:00:00.000000,Low,Phishing,Resolved,Incident 66 description
1067,2024-02-11 12:00:00.000000,High,Phishing,Resolved,Incident 67 description
1068,2024-06-27 06:00:00.000000,Critical,Malware,Resolved,Incident 68 description
1069,2024-08-28 19:00:00.000000,Medium,DDoS,Resolved,Incident 69 description
1070,2024-04-05 03:00:00.000000,High,Phishing,In Progress,Incident 70 description
1071,2024-08-09 04:00:00.000000,Medium,Misconfiguration,In Progress,Incident 71 description
1072,2024-08-18 12:00:00.000000,Low,Malware,Resolved,Incident 72 description
1073,2024-05-22 10:00:00.000000,Low,Phishing,Open,Incident 73 description
1074,2024-01-29 03:00:00.000000,Medium,Phishing,Closed,Incident 74 description
